Date,Year,Model,Region,Country,Channel,Quantity Sold,Revenue,Revenue Per Unit
2019-02-27,2019,BMW 2 Series,North America,Mexico,Dealership,4,119063.0,29765.75
2019-02-27,2019,BMW i8,South America,Argentina,Wholesale,5,64635.0,12927.0
2019-02-27,2019,BMW 8 Series,South America,Colombia,Wholesale,1,43068.0,43068.0
2019-02-28,2019,BMW X6,Africa,Morocco,Wholesale,5,92306.0,18461.2
2019-02-28,2019,BMW X4,Asia,India,Wholesale,1,97639.0,97639.0
2019-02-28,2019,BMW X5,North America,Canada,Dealership,1,34163.0,34163.0
2019-03-02,2019,BMW Z4,North America,Canada,Wholesale,5,65169.0,13033.8
2019-03-02,2019,BMW X6,Africa,Nigeria,Wholesale,4,46515.0,11628.75
2019-03-03,2019,BMW 4 Series,Africa,Kenya,Dealership,2,101533.0,50766.5
2019-03-03,2019,BMW X2,North America,United States,Wholesale,5,89432.0,17886.4
2019-03-03,2019,BMW Z4,South America,Argentina,Wholesale,3,115343.0,38447.67
2019-03-04,2019,BMW 5 Series,Asia,China,Dealership,3,109517.0,36505.67
2019-03-04,2019,BMW X7,North America,Canada,Wholesale,2,72018.0,36009.0
2019-03-04,2019,BMW 3 Series,Africa,Morocco,Wholesale,1,114463.0,114463.0
2019-03-04,2019,BMW iX,South America,Peru,Wholesale,2,97741.0,48870.5
2019-03-05,2019,BMW i4,North America,Canada,Dealership,4,92546.0,23136.5
2019-03-05,2019,BMW 6 Series,North America,Canada,Dealership,3,110490.0,36830.0
2019-03-05,2019,BMW 7 Series,Europe,Germany,Dealership,5,106167.0,21233.4
2019-03-06,2019,BMW X4,South America,Argentina,Dealership,2,107179.0,53589.5
2019-03-07,2019,BMW 4 Series,Europe,Italy,Dealership,2,58949.0,29474.5
2019-03-07,2019,BMW i3,Africa,Kenya,Dealership,2,86964.0,43482.0
2019-03-07,2019,BMW 8 Series,North America,Canada,Wholesale,5,59292.0,11858.4
2019-03-07,2019,BMW Z4,Africa,South Africa,Wholesale,5,88990.0,17798.0
2019-03-08,2019,BMW 7 Series,Africa,Kenya,Dealership,1,97541.0,97541.0
2019-03-08,2019,BMW M2,Europe,France,Wholesale,1,97419.0,97419.0
2019-03-08,2019,BMW 2 Series,Africa,South Africa,Dealership,3,64527.0,21509.0
2019-03-08,2019,BMW i3,South America,Argentina,Wholesale,3,58385.0,19461.67
2019-03-08,2019,BMW 7 Series,Asia,Japan,Dealership,3,68913.0,22971.0
2019-03-09,2019,BMW M3,Asia,Thailand,Wholesale,1,104861.0,104861.0
2019-03-09,2019,BMW iX,Africa,Nigeria,Wholesale,5,74133.0,14826.6
2019-03-10,2019,BMW 6 Series,South America,Chile,Wholesale,4,89481.0,22370.25
2019-03-10,2019,BMW i8,Africa,Egypt,Dealership,4,101484.0,25371.0
2019-03-10,2019,BMW 4 Series,Africa,Egypt,Wholesale,2,44227.0,22113.5
2019-03-11,2019,BMW X2,North America,Mexico,Dealership,2,96042.0,48021.0
2019-03-11,2019,BMW X3,North America,Mexico,Dealership,1,105969.0,105969.0
2019-03-12,2019,BMW 1 Series,North America,United States,Wholesale,4,65271.0,16317.75
2019-03-12,2019,BMW 1 Series,Asia,South Korea,Wholesale,2,112594.0,56297.0
2019-03-12,2019,BMW M5,South America,Argentina,Wholesale,1,105653.0,105653.0
2019-03-12,2019,BMW X3,North America,Mexico,Wholesale,1,55775.0,55775.0
2019-03-13,2019,BMW Z4,South America,Peru,Dealership,1,45014.0,45014.0
2019-03-13,2019,BMW 4 Series,Europe,Italy,Wholesale,4,69314.0,17328.5
2019-03-14,2019,BMW X5,South America,Peru,Wholesale,3,90690.0,30230.0
2019-03-14,2019,BMW 5 Series,Europe,Germany,Wholesale,3,56627.0,18875.67
2019-03-14,2019,BMW i4,Asia,China,Wholesale,1,63336.0,63336.0
2019-03-15,2019,BMW 6 Series,Africa,Kenya,Wholesale,1,37587.0,37587.0
2019-03-15,2019,BMW M8,South America,Colombia,Wholesale,3,73023.0,24341.0
2019-03-15,2019,BMW 7 Series,South America,Brazil,Wholesale,1,64229.0,64229.0
2019-03-15,2019,BMW M8,Asia,Thailand,Wholesale,4,32870.0,8217.5
2019-03-15,2019,BMW X4,North America,Canada,Wholesale,3,77457.0,25819.0
2019-03-16,2019,BMW 1 Series,South America,Peru,Wholesale,4,65500.0,16375.0
2019-03-16,2019,BMW X1,Europe,United Kingdom,Dealership,3,119547.0,39849.0
2019-03-16,2019,BMW 5 Series,South America,Brazil,Dealership,5,93503.0,18700.6
2019-03-17,2019,BMW M4,South America,Colombia,Wholesale,5,92237.0,18447.4
2019-03-18,2019,BMW X2,Europe,Spain,Dealership,5,41423.0,8284.6
2019-03-18,2019,BMW 5 Series,Africa,Egypt,Wholesale,4,117694.0,29423.5
2019-03-18,2019,BMW i4,Africa,Nigeria,Dealership,3,102378.0,34126.0
2019-03-19,2019,BMW iX,Asia,China,Wholesale,1,49039.0,49039.0
2019-03-19,2019,BMW i8,North America,Canada,Wholesale,2,64511.0,32255.5
2019-03-20,2019,BMW X6,North America,United States,Wholesale,5,109798.0,21959.6
2019-03-20,2019,BMW X6,Africa,South Africa,Dealership,5,53583.0,10716.6
2019-03-20,2019,BMW X4,South America,Brazil,Wholesale,1,52765.0,52765.0
2019-03-20,2019,BMW Z4,North America,United States,Wholesale,5,106730.0,21346.0
2019-03-20,2019,BMW X3,North America,United States,Wholesale,5,94546.0,18909.2
2019-03-20,2019,BMW 7 Series,Europe,Spain,Wholesale,5,69530.0,13906.0
2019-03-20,2019,BMW X3,North America,United States,Wholesale,3,58111.0,19370.33
2019-03-20,2019,BMW iX3,South America,Chile,Wholesale,5,31076.0,6215.2
2019-03-21,2019,BMW 2 Series,North America,Mexico,Dealership,2,106752.0,53376.0
2019-03-22,2019,BMW M3,Europe,Spain,Wholesale,3,44567.0,14855.67
2019-03-23,2019,BMW 2 Series,Europe,France,Wholesale,5,54463.0,10892.6
2019-03-23,2019,BMW X2,Europe,Germany,Wholesale,2,107195.0,53597.5
2019-03-23,2019,BMW 6 Series,South America,Argentina,Wholesale,3,70289.0,23429.67
2019-03-23,2019,BMW 3 Series,North America,Mexico,Dealership,4,63299.0,15824.75
2019-03-24,2019,BMW X2,North America,Canada,Wholesale,2,80978.0,40489.0
2019-03-25,2019,BMW X4,Asia,India,Dealership,2,76779.0,38389.5
2019-03-25,2019,BMW i3,South America,Colombia,Wholesale,4,61852.0,15463.0
2019-03-26,2019,BMW X7,North America,Mexico,Wholesale,3,58333.0,19444.33
2019-03-26,2019,BMW iX,Asia,India,Dealership,1,41629.0,41629.0
2019-03-26,2019,BMW 6 Series,Europe,Germany,Wholesale,3,68648.0,22882.67
2019-03-26,2019,BMW 1 Series,Europe,Spain,Wholesale,1,102681.0,102681.0
2019-03-26,2019,BMW i4,Europe,Spain,Wholesale,2,62919.0,31459.5
2019-03-26,2019,BMW X1,South America,Chile,Wholesale,5,84289.0,16857.8
2019-03-27,2019,BMW i4,Asia,China,Wholesale,3,68875.0,22958.33
2019-03-27,2019,BMW M4,Africa,Egypt,Wholesale,3,106031.0,35343.67
2019-03-27,2019,BMW X5,Asia,South Korea,Wholesale,3,76809.0,25603.0
2019-03-27,2019,BMW M8,South America,Chile,Wholesale,3,119294.0,39764.67
2019-03-27,2019,BMW X3,Asia,Thailand,Wholesale,1,85441.0,85441.0
2019-03-28,2019,BMW 5 Series,Africa,Nigeria,Dealership,4,42069.0,10517.25
2019-03-28,2019,BMW i3,Asia,Japan,Dealership,2,93726.0,46863.0
2019-03-28,2019,BMW X3,Europe,Spain,Wholesale,5,114682.0,22936.4
2019-03-28,2019,BMW i8,Europe,United Kingdom,Dealership,4,49887.0,12471.75
2019-03-29,2019,BMW 8 Series,North America,United States,Wholesale,2,30605.0,15302.5
2019-03-29,2019,BMW X3,Asia,South Korea,Wholesale,1,107952.0,107952.0
2019-03-30,2019,BMW M2,South America,Peru,Wholesale,4,83649.0,20912.25
2019-03-30,2019,BMW M8,South America,Chile,Wholesale,4,84697.0,21174.25
2019-03-31,2019,BMW X2,Africa,Morocco,Dealership,4,114559.0,28639.75
2019-03-31,2019,BMW X6,Asia,Japan,Wholesale,4,73426.0,18356.5
2019-03-31,2019,BMW X2,Africa,Kenya,Wholesale,1,71682.0,71682.0
2019-04-01,2019,BMW X5,Asia,Japan,Dealership,3,73388.0,24462.67
2019-04-01,2019,BMW X7,Africa,Nigeria,Dealership,4,80142.0,20035.5
2019-04-01,2019,BMW i8,South America,Argentina,Wholesale,2,90049.0,45024.5
2019-04-02,2019,BMW M2,South America,Chile,Wholesale,3,100540.0,33513.33
2019-04-02,2019,BMW X1,Asia,Japan,Wholesale,1,90361.0,90361.0
2019-04-03,2019,BMW 1 Series,Europe,Spain,Dealership,5,64519.0,12903.8
2019-04-03,2019,BMW i8,Africa,Nigeria,Wholesale,1,118992.0,118992.0
2019-04-05,2019,BMW M5,South America,Chile,Wholesale,5,88353.0,17670.6
2019-04-05,2019,BMW i4,Asia,India,Wholesale,2,69648.0,34824.0
2019-04-05,2019,BMW 3 Series,South America,Colombia,Wholesale,5,33573.0,6714.6
2019-04-05,2019,BMW 4 Series,Africa,Nigeria,Wholesale,4,106859.0,26714.75
2019-04-05,2019,BMW i4,South America,Chile,Wholesale,3,91599.0,30533.0
2019-04-05,2019,BMW 8 Series,South America,Argentina,Wholesale,3,103965.0,34655.0
2019-04-06,2019,BMW 5 Series,South America,Peru,Wholesale,3,65377.0,21792.33
2019-04-06,2019,BMW 4 Series,Asia,China,Wholesale,4,110373.0,27593.25
2019-04-07,2019,BMW iX3,Europe,Spain,Wholesale,1,116923.0,116923.0
2019-04-07,2019,BMW M4,Asia,Japan,Wholesale,4,114728.0,28682.0
2019-04-07,2019,BMW 8 Series,Europe,Spain,Wholesale,4,72986.0,18246.5
2019-04-07,2019,BMW X4,Europe,Spain,Wholesale,3,53810.0,17936.67
2019-04-07,2019,BMW i8,Asia,China,Dealership,5,69768.0,13953.6
2019-04-08,2019,BMW i8,Africa,Morocco,Wholesale,5,112871.0,22574.2
2019-04-08,2019,BMW 6 Series,South America,Chile,Wholesale,1,91264.0,91264.0
2019-04-08,2019,BMW X3,Asia,Thailand,Wholesale,2,60100.0,30050.0
2019-04-09,2019,BMW X1,North America,United States,Wholesale,4,67269.0,16817.25
2019-04-09,2019,BMW 4 Series,Asia,Japan,Dealership,4,79781.0,19945.25
2019-04-09,2019,BMW X6,North America,United States,Wholesale,1,89113.0,89113.0
2019-04-09,2019,BMW 7 Series,South America,Argentina,Dealership,2,79190.0,39595.0
2019-04-09,2019,BMW M4,North America,United States,Wholesale,4,33646.0,8411.5
2019-04-10,2019,BMW X7,Africa,Morocco,Wholesale,1,84626.0,84626.0
2019-04-10,2019,BMW i3,North America,Canada,Dealership,5,88413.0,17682.6
2019-04-10,2019,BMW Z4,North America,Canada,Dealership,4,103750.0,25937.5
2019-04-12,2019,BMW 7 Series,Africa,Morocco,Wholesale,1,105043.0,105043.0
2019-04-12,2019,BMW iX,North America,Canada,Wholesale,5,48001.0,9600.2
2019-04-13,2019,BMW iX,Europe,Germany,Dealership,1,95039.0,95039.0
2019-04-13,2019,BMW 1 Series,Africa,Kenya,Dealership,1,38360.0,38360.0
2019-04-14,2019,BMW iX,Asia,India,Wholesale,2,57014.0,28507.0
2019-04-15,2019,BMW 5 Series,Africa,Kenya,Wholesale,1,115658.0,115658.0
2019-04-15,2019,BMW 6 Series,North America,Mexico,Wholesale,3,34909.0,11636.33
2019-04-15,2019,BMW 3 Series,Africa,Kenya,Wholesale,3,107090.0,35696.67
2019-04-16,2019,BMW Z4,Europe,Germany,Dealership,1,62007.0,62007.0
2019-04-16,2019,BMW X7,South America,Brazil,Wholesale,4,112141.0,28035.25
2019-04-17,2019,BMW X1,Africa,Morocco,Dealership,3,117691.0,39230.33
2019-04-17,2019,BMW 7 Series,Europe,Germany,Wholesale,5,112990.0,22598.0
2019-04-17,2019,BMW 4 Series,South America,Chile,Wholesale,5,78556.0,15711.2
2019-04-17,2019,BMW X5,Africa,Egypt,Wholesale,4,93177.0,23294.25
2019-04-17,2019,BMW X7,Africa,Morocco,Dealership,5,98495.0,19699.0
2019-04-18,2019,BMW 5 Series,Asia,Japan,Dealership,4,44559.0,11139.75
2019-04-19,2019,BMW X3,South America,Chile,Dealership,1,66963.0,66963.0
2019-04-19,2019,BMW i8,North America,Mexico,Dealership,5,101521.0,20304.2
2019-04-19,2019,BMW 8 Series,Africa,Kenya,Wholesale,5,110919.0,22183.8
2019-04-20,2019,BMW iX,North America,Mexico,Dealership,5,74974.0,14994.8
2019-04-20,2019,BMW M4,South America,Argentina,Dealership,5,110535.0,22107.0
2019-04-20,2019,BMW 6 Series,South America,Brazil,Wholesale,1,98201.0,98201.0
2019-04-20,2019,BMW X4,North America,Canada,Wholesale,5,42869.0,8573.8
2019-04-20,2019,BMW M2,Africa,Morocco,Dealership,1,106489.0,106489.0
2019-04-21,2019,BMW X1,Europe,United Kingdom,Dealership,5,57609.0,11521.8
2019-04-21,2019,BMW i4,Asia,India,Dealership,5,79117.0,15823.4
2019-04-22,2019,BMW X5,Africa,Egypt,Wholesale,2,93956.0,46978.0
2019-04-22,2019,BMW 6 Series,South America,Brazil,Dealership,1,32976.0,32976.0
2019-04-22,2019,BMW X1,Asia,India,Wholesale,3,53138.0,17712.67
2019-04-22,2019,BMW M8,Africa,Nigeria,Wholesale,4,47843.0,11960.75
2019-04-22,2019,BMW X5,South America,Argentina,Dealership,2,62559.0,31279.5
2019-04-22,2019,BMW M8,Asia,India,Dealership,5,108255.0,21651.0
2019-04-23,2019,BMW 8 Series,South America,Brazil,Wholesale,2,31887.0,15943.5
2019-04-23,2019,BMW M5,North America,United States,Wholesale,1,48220.0,48220.0
2019-04-23,2019,BMW M4,Asia,Thailand,Wholesale,2,81759.0,40879.5
2019-04-23,2019,BMW M5,South America,Argentina,Wholesale,3,59048.0,19682.67
2019-04-23,2019,BMW X3,Asia,Thailand,Dealership,5,106347.0,21269.4
2019-04-23,2019,BMW 1 Series,Europe,United Kingdom,Wholesale,3,64162.0,21387.33
2019-04-23,2019,BMW M4,South America,Brazil,Wholesale,5,104397.0,20879.4
